Time [ms];CPU usage [%];GC activity [%];Heap Size;Used heap;Used heap
0;35.9;0;483.393536;181.153688;181.153688
0.5;30.6;0;483.393536;216.311248;216.311248
1;29.9;0;483.393536;247.13824;247.13824
1.5;18.4;0;483.393536;277.084696;277.084696
2;38.6;0;483.393536;140.522768;140.522768
2.5;19.9;0;483.393536;172.96608;172.96608
3;23.8;1.6;483.393536;213.442344;213.442344
3.5;14.7;0;483.393536;250.255336;250.255336
4;23.7;0.1;483.393536;297.87736;297.87736
4.5;28.6;0;513.277952;138.904848;138.904848
5;13.8;0;513.277952;181.055496;181.055496
5.5;19.9;0;513.277952;214.730552;214.730552
6;29.8;0.2;513.277952;243.24044;243.24044
6.5;33.7;0;513.277952;270.020312;270.020312
7;29.7;0.1;513.277952;312.032152;312.032152
7.5;23.4;0;510.132224;153.037832;153.037832
8;14.6;0;510.132224;184.816288;184.816288
8.5;14.7;0;510.132224;231.185232;231.185232
9;20.6;0.1;510.132224;267.442928;267.442928
9.5;17.7;0;510.132224;307.344976;307.344976
10;27.1;0;538.443776;125.64156;125.64156
10.5;26.9;0.1;538.443776;164.695424;164.695424
11;17.7;0;538.443776;209.312272;209.312272
11.5;17.3;0.1;538.443776;242.257992;242.257992
12;14.4;0;538.443776;269.777664;269.777664
12.5;17.5;0;538.443776;289.071144;289.071144
13;12.4;0.1;538.443776;327.662032;327.662032
13.5;25.8;0;536.870912;138.121824;138.121824
14;16.2;0;536.870912;178.892848;178.892848
14.5;21.8;0.1;536.870912;203.046728;203.046728
15;21.6;0;536.870912;241.519408;241.519408
15.5;19.4;0;536.870912;282.72976;282.72976
16;20.8;0.1;536.870912;321.827024;321.827024
16.5;27.6;0;536.870912;344.663008;344.663008
17;32.8;0;557.318144;146.63408;146.63408
17.5;42.4;0.2;557.318144;191.771072;191.771072
18;32.4;0;557.318144;236.548088;236.548088
18.5;19.3;0;557.318144;293.810976;293.810976
19;12.7;0.1;557.318144;349.036864;349.036864
19.5;17.8;0;556.793856;154.592328;154.592328
20;14.6;0;556.793856;188.784584;188.784584
20.5;22.3;0.2;556.793856;240.49568;240.49568
21;17.8;0;556.793856;283.158968;283.158968
21.5;10.1;0;556.793856;308.709216;308.709216
22;23.8;0.1;556.793856;343.924112;343.924112
22.5;16.3;0;556.793856;384.503328;384.503328
23;19.8;0;577.241088;165.623904;165.623904
23.5;11.6;0.1;577.241088;199.240208;199.240208
24;19.2;0;577.241088;242.865248;242.865248
24.5;22.3;0;577.241088;311.618944;311.618944
25;10.9;0.2;577.241088;347.372112;347.372112
25.5;26.3;0;577.241088;389.565136;389.565136
26;30.5;0;575.668224;158.3452;158.3452
26.5;11.6;0.1;575.668224;207.603448;207.603448
27;13.8;0;575.668224;246.059904;246.059904
27.5;19.4;0;575.668224;290.1936;290.1936
28;16.2;0;575.668224;340.224144;340.224144
28.5;11.5;0.1;575.668224;374.0166;374.0166
29;39.9;0;588.251136;127.558488;127.558488
29.5;27.2;0;588.251136;173.172184;173.172184
30;15.5;0;588.251136;224.126488;224.126488
30.5;10.1;0;588.251136;278.435312;278.435312
31;27;0;588.251136;309.757064;309.757064
31.5;18.7;0;588.251136;362.788632;362.788632
32;12.5;0;588.251136;413.053344;413.053344
32.5;15.6;0;595.06688;183.087528;183.087528
33;11.7;0;595.06688;240.299752;240.299752
33.5;29.3;0;595.06688;304.951832;304.951832
34;22.1;0;595.06688;366.25368;366.25368
34.5;16.3;0.1;595.06688;422.35212;422.35212
35;16.5;0;616.562688;172.842216;172.842216
35.5;26.9;0;616.562688;221.782568;221.782568
36;23.1;0;616.562688;254.851952;254.851952
36.5;28.5;0;616.562688;277.153024;277.153024
37;21.5;0;616.562688;335.95616;335.95616
37.5;11.7;0.1;616.562688;388.795608;388.795608
38;43.8;0;616.562688;429.88096;429.88096
38.5;62.9;0;616.562688;134.574184;134.574184
39;26.9;0;616.562688;178.42092;178.42092
39.5;28.8;0;616.562688;228.971312;228.971312
40;35;0.1;616.562688;272.916056;272.916056
40.5;30.9;0;616.562688;311.862616;311.862616
41;29.2;0;616.562688;364.209096;364.209096
41.5;16.2;0;616.562688;409.868448;409.868448
42;14.6;0;621.28128;136.163256;136.163256
42.5;29.3;0;621.28128;186.593928;186.593928
43;29.2;0;621.28128;238.700888;238.700888
43.5;40;0.1;621.28128;297.9196;297.9196
44;13.4;0;621.28128;349.877072;349.877072
44.5;14.6;0;621.28128;402.133816;402.133816
45;19.3;0;621.28128;456.151416;456.151416
45.5;10.7;0;621.28128;181.592176;181.592176
46;10.9;0.1;621.28128;231.515448;231.515448
46.5;14.8;0;621.28128;293.334896;293.334896
47;16.2;0;621.28128;341.110288;341.110288
47.5;15.5;0;621.28128;394.464224;394.464224
48;10.9;;621.28128;443.004864;443.004864
48.5;34.8;;621.28128;136.807712;136.807712
49;41;;621.28128;185.25732;185.25732
49.5;19.2;;621.28128;238.039872;238.039872
50;10.1;;621.28128;300.547608;300.547608
50.5;29.3;;621.28128;344.019384;344.019384
51;29.3;;621.28128;405.919408;405.919408
51.5;18.6;;621.28128;468.00608;468.00608
52;27.5;;595.06688;171.215832;171.215832
52.5;33.8;;595.06688;227.255808;227.255808
53;14;;595.06688;278.760448;278.760448
53.5;14;;595.06688;337.055904;337.055904
54;9.1;;595.06688;394.697616;394.697616
54.5;10.8;;595.06688;449.963784;449.963784
55;18.8;;595.06688;152.884968;152.884968
55.5;12.4;;595.06688;213.014816;213.014816
56;18.5;;595.06688;273.67192;273.67192
56.5;15.4;;595.06688;317.00656;317.00656
57;14.8;;595.06688;392.38456;392.38456
57.5;17.7;;595.06688;453.557576;453.557576
58;9.61;;607.125504;262.493032;262.493032
58.5;19.3;;607.125504;229.531464;229.531464
59;26.9;;607.125504;282.80444;282.80444
59.5;19.2;;607.125504;344.532976;344.532976
60;14;;607.125504;409.210744;409.210744
